SERVICETYPE,VEHICLETYPE,DEPARTURE_COUNTRY,DEPARTURE_ZIPCODE,ARRIVAL_COUNTRY,ARRIVAL_ZIPCODE,SHIPPING_DATE,GROSS_WEIGHT_KG,NET_WEIGHT_KG,VOLUME_M3,DECLARED_DISTANCE_KM,ACTUAL_DELIVERY_DATE,DELIVERY_TIME_HH,WDAY
1,1,IT,63811,IT,26100,2023-01-03 11:31:25.577,3.2,2.7,0.07,361.84,2023-01-11 12:22:14,193,1
2,0,IT,63076,IT,25020,2023-01-03 00:00:14,12.34,11.15,0.12,407.91,2023-01-05 00:00:14,48,1
2,0,IT,63076,IT,25020,2023-01-03 00:00:14,59.42,54.39,0.49,407.91,2023-01-05 00:00:14,48,1
2,0,IT,63076,IT,25020,2023-01-03 00:00:14,127.0,114.42,1.01,407.91,2023-01-05 00:00:14,48,1
2,0,IT,63076,IT,25020,2023-01-03 00:00:14,17.22,15.83,0.16,407.91,2023-01-05 00:00:14,48,1
2,0,IT,63076,IT,25020,2023-01-03 00:00:14,21.58,18.78,0.2,407.91,2023-01-05 00:00:14,48,1
2,0,IT,63076,IT,25020,2023-01-03 00:00:14,7.46,6.76,0.15,407.91,2023-01-05 00:00:14,48,1
2,0,IT,63076,IT,25020,2023-01-03 00:00:14,95.48,86.25,0.93,407.91,2023-01-05 00:00:14,48,1
2,0,IT,63076,IT,25020,2023-01-03 00:00:14,38.24,34.45,0.35,407.91,2023-01-05 00:00:14,48,1
1,1,IT,63076,IT,52100,2023-01-03 00:00:14,24.4,22.26,0.2,169.86,2023-01-04 10:07:14,34,1
1,1,IT,63076,IT,52100,2023-01-03 00:00:14,1.82,1.52,0.02,169.86,2023-01-04 10:08:14,34,1
1,1,IT,63076,IT,24040,2023-01-03 00:00:14,0.88,0.68,0.01,451.17,2023-01-09 12:00:14,156,1
1,1,IT,63076,IT,52100,2023-01-03 00:00:14,2.0,1.6,0.02,169.86,2023-01-04 10:09:14,34,1
1,1,IT,63076,IT,24040,2023-01-03 00:00:14,13.76,12.57,0.12,451.17,2023-01-09 12:00:14,156,1
0,0,IT,63076,IT,80129,2023-01-03 00:00:14,0.78,0.0,0.01,233.09,2023-01-04 00:00:14,24,1
0,0,IT,63076,IT,21019,2023-01-03 00:00:14,0.92,0.0,0.01,511.12,2023-01-04 00:00:14,24,1
0,0,IT,63076,IT,30016,2023-01-03 00:00:14,1.25,0.0,0.01,306.24,2023-01-04 00:00:14,24,1
0,0,IT,63076,IT,171,2023-01-03 00:00:14,0.35,0.0,0.01,154.77,2023-01-05 13:53:03,61,1
0,0,IT,63076,IT,24122,2023-01-03 00:00:14,0.62,0.0,0.01,453.28,2023-01-04 11:18:56,35,1
0,0,IT,63076,IT,23020,2023-01-03 00:00:14,1.13,0.0,0.01,477.97,2023-01-04 13:23:47,37,1
0,1,IT,63076,IT,70121,2023-01-03 00:00:14,1.08,0.0,0.01,321.49,2023-01-05 13:46:14,61,1
0,0,IT,63076,IT,3017,2023-01-03 00:00:14,1.3,0.0,0.01,152.18,2023-01-05 13:58:08,61,1
0,0,IT,63076,IT,80125,2023-01-03 00:00:14,1.05,0.0,0.01,233.89,2023-01-04 00:00:14,24,1
0,0,IT,63076,IT,54100,2023-01-03 00:00:14,1.1,0.0,0.01,323.13,2023-01-05 12:24:01,60,1
0,0,IT,63076,IT,20144,2023-01-03 00:00:14,1.25,0.0,0.01,467.45,2023-01-05 00:00:14,48,1
0,0,IT,63076,IT,18038,2023-01-03 00:00:14,2.03,0.0,0.01,500.12,2023-01-05 12:40:14,60,1
0,0,IT,63076,IT,70125,2023-01-03 00:00:14,2.37,0.0,0.01,323.5,2023-01-05 12:54:14,60,1
3,2,US,95116,US,7008,2023-01-01 00:00:14,0.36,0.36,0.0,2961.36,2023-01-12 00:00:14,264,6
0,2,US,33154,US,10011,2023-01-01 00:00:14,1.0,0.0,0.01,1746.29,2023-01-07 00:00:14,144,6
3,0,IT,88900,IT,63076,2023-01-01 00:00:14,0.74,0.74,0.0,508.84,2023-01-05 00:00:14,96,6
3,2,US,7626,US,7008,2023-01-01 00:00:14,1.42,1.42,0.0,951.15,2023-01-04 00:00:14,72,6
3,0,IT,52100,IT,63076,2023-01-01 00:00:14,0.89,0.89,0.0,169.86,2023-01-10 00:00:14,216,6
0,4,US,10022,US,92656,2023-01-01 00:00:14,0.54,0.0,0.04,3917.24,2023-01-04 00:00:14,72,6
0,2,US,10022,US,33140,2023-01-01 00:00:14,0.85,0.0,0.04,1756.15,2023-01-06 00:00:14,120,6
0,2,US,10022,US,34236,2023-01-01 00:00:14,1.2,0.0,0.09,1687.19,2023-01-06 00:00:14,120,6
3,0,IT,56123,IT,63076,2023-01-01 00:00:14,1.07,1.07,0.0,291.9,2023-01-09 00:00:14,192,6
3,0,IT,90139,IT,63076,2023-01-01 00:00:14,1.48,1.48,0.0,535.1,2023-01-10 00:00:14,216,6
3,0,IT,72019,IT,63076,2023-01-01 00:00:14,0.76,0.76,0.0,408.31,2023-01-09 00:00:14,192,6
3,2,US,10012,US,7008,2023-01-01 00:00:14,0.7,0.7,0.0,1137.75,2023-01-05 00:00:14,96,6
0,2,US,10001,US,90274,2023-01-01 00:00:14,5.07,0.0,0.04,3959.86,2023-01-10 00:00:14,216,6
0,2,US,10022,US,95008,2023-01-02 00:00:14,1.38,0.0,0.09,4111.92,2023-01-10 00:00:14,192,0
3,0,IT,96016,IT,63076,2023-01-02 00:00:14,0.52,0.52,0.0,635.08,2023-01-05 00:00:14,72,0
0,2,US,92626,US,10006,2023-01-02 00:00:14,2.0,0.0,0.0,3924.19,2023-01-10 00:00:14,192,0
3,2,US,7039,US,7008,2023-01-02 00:00:14,1.26,1.26,0.0,1895.16,2023-01-05 00:00:14,72,0
3,0,IT,95033,IT,63076,2023-01-02 00:00:14,1.15,1.15,0.0,593.31,2023-01-12 00:00:14,240,0
2,0,IT,63076,IT,24040,2023-01-03 00:00:14,14.92,13.77,0.12,451.17,2023-01-05 00:00:14,48,1
3,0,IT,27010,IT,63076,2023-01-02 00:00:14,0.31,0.31,0.0,456.31,2023-01-03 00:00:14,24,0
1,1,IT,20122,IT,63087,2023-01-02 08:56:05.397,4.0,3.9,0.0,436.71,2023-01-09 00:00:14,160,0
3,2,US,97229,US,7008,2023-01-02 00:00:14,1.33,1.33,0.0,2846.36,2023-01-10 00:00:14,192,0
0,0,IT,20090,IT,29029,2023-01-02 00:00:14,1.95,0.0,0.01,68.41,2023-01-03 00:00:14,24,0
0,0,IT,187,IT,16036,2023-01-02 00:00:14,2.0,0.0,0.01,385.51,2023-01-04 00:00:14,48,0
3,0,IT,96019,IT,63076,2023-01-02 00:00:14,0.29,0.29,0.0,685.67,2023-01-05 00:00:14,72,0
3,0,IT,80010,IT,63076,2023-01-02 00:00:14,0.82,0.82,0.0,224.52,2023-01-04 00:00:14,48,0
0,0,IT,50123,IT,80047,2023-01-02 00:00:14,2.0,0.0,0.01,422.9,2023-01-05 00:00:14,72,0
0,0,IT,70121,IT,88060,2023-01-02 00:00:14,1.0,0.0,0.01,277.21,2023-01-05 13:53:05,85,0
3,0,IT,58100,IT,63076,2023-01-02 00:00:14,0.86,0.86,0.0,222.36,2023-01-05 00:00:14,72,0
3,0,IT,80010,IT,63076,2023-01-02 00:00:14,1.05,1.05,0.0,224.52,2023-01-09 00:00:14,168,0
3,0,IT,95040,IT,63076,2023-01-02 00:00:14,0.31,0.31,0.0,610.59,2023-01-24 00:00:14,528,0
0,0,IT,70121,IT,90144,2023-01-02 00:00:14,1.0,0.0,0.01,449.41,2023-01-05 11:01:31,83,0
0,0,IT,187,IT,37063,2023-01-02 00:00:14,1.0,0.0,0.04,393.41,2023-01-03 10:56:39,34,0
3,0,IT,20864,IT,63076,2023-01-02 00:00:14,1.0,1.0,0.0,463.45,2023-01-04 00:00:14,48,0
3,0,IT,4011,IT,63076,2023-01-02 00:00:14,0.51,0.51,0.0,177.34,2023-01-04 00:00:14,48,0
3,0,IT,2044,IT,63076,2023-01-02 00:00:14,0.73,0.73,0.0,123.01,2023-01-09 00:00:14,168,0
0,0,IT,20121,IT,70032,2023-01-02 00:00:14,0.76,0.0,0.01,777.73,2023-01-05 13:20:14,85,0
0,1,IT,50123,IT,36,2023-01-02 00:00:14,1.19,0.0,0.01,253.78,2023-01-04 00:00:14,48,0
0,0,IT,50123,IT,81011,2023-01-02 00:00:14,1.17,0.0,0.01,371.57,2023-01-05 12:40:49,84,0
0,0,IT,20121,IT,8100,2023-01-02 00:00:14,0.48,0.0,0.01,573.16,2023-01-05 13:37:14,85,0
0,0,IT,20121,IT,71045,2023-01-02 00:00:14,2.2,0.0,0.01,700.3,2023-01-05 00:00:14,72,0
3,0,IT,21040,IT,63076,2023-01-02 00:00:14,0.87,0.87,0.0,487.85,2023-01-03 00:00:14,24,0
0,0,IT,37121,IT,20153,2023-01-02 00:00:14,1.63,0.0,0.01,148.96,2023-01-04 00:00:14,48,0
0,0,IT,20090,IT,89822,2023-01-02 00:00:14,2.1,0.0,0.01,967.16,2023-01-04 00:00:14,48,0
1,1,IT,50065,IT,58033,2023-01-02 13:37:46.583,6.2,6.1,0.0,98.64,2023-01-03 10:48:14,21,0
1,1,IT,50065,IT,43044,2023-01-02 13:40:59.217,21.0,20.0,0.0,146.23,2023-01-03 13:23:14,24,0
1,1,IT,50065,IT,47030,2023-01-02 13:42:50.91,18.0,17.799999,0.0,86.04,2023-01-03 11:15:14,22,0
0,1,IT,40124,IT,35015,2023-01-02 00:00:14,3.0,0.0,0.04,136.0,2023-01-04 00:00:14,48,0
3,0,IT,87036,IT,63076,2023-01-02 00:00:14,1.04,1.04,0.0,445.28,2023-01-05 00:00:14,72,0
1,1,IT,50065,IT,47030,2023-01-02 13:43:50.93,6.2,6.1,0.0,86.04,2023-01-03 11:15:14,22,0
1,1,IT,50065,IT,64020,2023-01-02 13:44:36.823,2.6,2.5,0.0,223.15,2023-01-03 11:00:14,22,0
1,1,IT,50065,IT,43044,2023-01-02 13:59:11.963,1.5,1.0,0.0,146.23,2023-01-04 09:44:14,44,0
1,1,IT,50065,IT,6011,2023-01-02 13:59:48.12,1.0,0.8,0.0,68.86,2023-01-03 13:12:14,24,0
3,0,IT,20135,IT,63076,2023-01-02 00:00:14,2.66,2.66,0.0,464.41,2023-01-04 00:00:14,48,0
1,1,IT,62029,IT,63821,2023-01-02 14:21:22.023,0.4,0.35,0.0,38.84,2023-01-09 00:00:14,154,0
1,1,IT,62029,IT,63812,2023-01-02 14:22:10.757,0.7,0.5,0.0,28.65,2023-01-03 00:00:14,10,0
1,1,IT,62029,IT,64011,2023-01-02 14:24:30.73,2.75,2.5,0.0,66.27,2023-01-03 00:00:14,10,0
1,1,IT,62029,IT,50068,2023-01-02 14:32:44.717,0.15,0.1,0.0,160.43,2023-01-04 14:55:14,48,0
1,1,IT,62029,IT,50058,2023-01-02 14:44:43.87,1.8,1.6,0.0,187.92,2023-01-04 12:15:14,46,0
1,1,IT,50065,IT,52027,2023-01-02 14:49:01.803,4.1,3.0,0.0364,24.19,2023-01-03 15:15:14,25,0
1,1,IT,62029,IT,56031,2023-01-02 14:52:15.603,132.0,122.0,1e-06,222.33,2023-01-09 09:47:14,163,0
1,1,IT,62029,IT,50055,2023-01-02 14:53:07.227,5.7,5.2,0.0,186.73,2023-01-03 11:14:14,21,0
3,0,IT,91011,IT,63076,2023-01-02 00:00:14,1.67,1.67,0.0,555.53,2023-01-05 00:00:14,72,0
3,0,IT,80070,IT,63076,2023-01-02 00:00:14,0.83,0.83,0.0,237.27,2023-01-04 00:00:14,48,0
3,2,US,10014,US,7008,2023-01-02 00:00:14,1.3,1.3,0.0,1137.01,2023-01-04 00:00:14,48,0
3,0,IT,87022,IT,63076,2023-01-02 00:00:14,0.05,0.05,0.0,417.9,2023-01-05 00:00:14,72,0
3,0,IT,6049,IT,63076,2023-01-02 00:00:14,1.37,1.37,0.0,91.61,2023-01-05 00:00:14,72,0
3,0,IT,80134,IT,63076,2023-01-02 00:00:14,0.72,0.72,0.0,233.55,2023-01-12 00:00:14,240,0
0,2,US,10065,US,33146,2023-01-02 00:00:14,1.0,0.0,0.01,1771.49,2023-01-06 00:00:14,96,0
0,4,US,10065,US,32963,2023-01-02 00:00:14,1.0,0.0,0.01,1569.84,2023-01-05 00:00:14,72,0
1,1,IT,63811,IT,10036,2023-01-02 15:53:44.497,7.0,6.0,0.1683,517.29,2023-01-04 12:00:14,45,0
1,1,IT,63811,IT,30020,2023-01-02 15:54:02.693,1.5,0.7,0.0,281.64,2023-01-04 10:51:14,43,0
1,1,IT,20122,IT,63811,2023-01-02 16:03:36.433,0.5,0.4,0.0,434.81,2023-01-03 00:00:14,8,0
1,1,IT,20122,IT,63811,2023-01-02 16:05:41.587,0.5,0.4,0.0,434.81,2023-01-03 00:00:14,8,0
0,2,US,10022,US,10075,2023-01-02 00:00:14,0.54,0.0,0.04,1.95,2023-01-04 00:00:14,48,0
0,2,US,10001,US,33149,2023-01-02 00:00:14,1.0,0.0,0.04,1768.65,2023-01-06 00:00:14,96,0
3,2,US,33483,US,7008,2023-01-02 00:00:14,1.43,1.43,0.0,1830.77,2023-01-09 00:00:14,168,0
0,2,US,10022,US,10013,2023-01-02 00:00:14,1.58,0.0,0.04,5.23,2023-01-04 00:00:14,48,0
3,0,IT,49377,IT,63076,2023-01-02 16:48:43.077,3.0,2.0,0.008,99.78,2023-01-09 00:00:14,152,0
0,2,US,2116,US,91205,2023-01-02 00:00:14,0.76,0.0,0.04,3096.39,2023-01-12 00:00:14,240,0
0,0,IT,16121,IT,95030,2023-01-02 00:00:14,0.53,0.0,0.0,918.46,2023-01-05 00:00:14,72,0
0,0,IT,187,IT,36015,2023-01-02 00:00:14,1.0,0.0,0.04,434.13,2023-01-05 11:08:25,83,0
0,2,US,10022,US,40503,2023-01-02 00:00:14,1.0,0.0,0.01,956.78,2023-01-05 00:00:14,72,0
3,0,IT,34151,IT,63076,2023-01-02 00:00:14,0.87,0.87,0.0,308.07,2023-01-05 00:00:14,72,0
3,0,IT,98124,IT,63076,2023-01-02 00:00:14,0.05,0.05,0.0,547.32,2023-01-11 00:00:14,216,0
