Unnamed: 0,SERVICETYPE,VEHICLETYPE,DEPARTURE_COUNTRY,DEPARTURE_ZIPCODE,ARRIVAL_COUNTRY,ARRIVAL_ZIPCODE,SHIPPING_DATE,GROSS_WEIGHT_KG,NET_WEIGHT_KG,VOLUME_M3,DECLARED_DISTANCE_KM,ACTUAL_DELIVERY_DATE,DELIVERY_TIME_HH,WDAY
25,1,1,IT,63811,IT,26100,2023-01-03 11:31:25.577,3.2,2.7,0.07,361.84,2023-01-11 12:22:14,193,1
28,2,0,IT,63076,IT,25020,2023-01-03 00:00:14,12.34,11.15,0.12,407.91,2023-01-05 00:00:14,48,1
29,2,0,IT,63076,IT,25020,2023-01-03 00:00:14,59.42,54.39,0.49,407.91,2023-01-05 00:00:14,48,1
30,2,0,IT,63076,IT,25020,2023-01-03 00:00:14,127.0,114.42,1.01,407.91,2023-01-05 00:00:14,48,1
31,2,0,IT,63076,IT,25020,2023-01-03 00:00:14,17.22,15.83,0.16,407.91,2023-01-05 00:00:14,48,1
32,2,0,IT,63076,IT,25020,2023-01-03 00:00:14,21.58,18.78,0.2,407.91,2023-01-05 00:00:14,48,1
33,2,0,IT,63076,IT,25020,2023-01-03 00:00:14,7.46,6.76,0.15,407.91,2023-01-05 00:00:14,48,1
34,2,0,IT,63076,IT,25020,2023-01-03 00:00:14,95.48,86.25,0.93,407.91,2023-01-05 00:00:14,48,1
35,2,0,IT,63076,IT,25020,2023-01-03 00:00:14,38.24,34.45,0.35,407.91,2023-01-05 00:00:14,48,1
37,1,1,IT,63076,IT,52100,2023-01-03 00:00:14,24.4,22.26,0.2,169.86,2023-01-04 10:07:14,34,1
38,1,1,IT,63076,IT,52100,2023-01-03 00:00:14,1.82,1.52,0.02,169.86,2023-01-04 10:08:14,34,1
39,1,1,IT,63076,IT,24040,2023-01-03 00:00:14,0.88,0.68,0.01,451.17,2023-01-09 12:00:14,156,1
40,1,1,IT,63076,IT,52100,2023-01-03 00:00:14,2.0,1.6,0.02,169.86,2023-01-04 10:09:14,34,1
41,1,1,IT,63076,IT,24040,2023-01-03 00:00:14,13.76,12.57,0.12,451.17,2023-01-09 12:00:14,156,1
42,0,0,IT,63076,IT,80129,2023-01-03 00:00:14,0.78,0.0,0.01,233.09,2023-01-04 00:00:14,24,1
43,0,0,IT,63076,IT,21019,2023-01-03 00:00:14,0.92,0.0,0.01,511.12,2023-01-04 00:00:14,24,1
44,0,0,IT,63076,IT,30016,2023-01-03 00:00:14,1.25,0.0,0.01,306.24,2023-01-04 00:00:14,24,1
45,0,0,IT,63076,IT,171,2023-01-03 00:00:14,0.35,0.0,0.01,154.77,2023-01-05 13:53:03,61,1
46,0,0,IT,63076,IT,24122,2023-01-03 00:00:14,0.62,0.0,0.01,453.28,2023-01-04 11:18:56,35,1
47,0,0,IT,63076,IT,23020,2023-01-03 00:00:14,1.13,0.0,0.01,477.97,2023-01-04 13:23:47,37,1
48,0,1,IT,63076,IT,70121,2023-01-03 00:00:14,1.08,0.0,0.01,321.49,2023-01-05 13:46:14,61,1
49,0,0,IT,63076,IT,3017,2023-01-03 00:00:14,1.3,0.0,0.01,152.18,2023-01-05 13:58:08,61,1
50,0,0,IT,63076,IT,80125,2023-01-03 00:00:14,1.05,0.0,0.01,233.89,2023-01-04 00:00:14,24,1
51,0,0,IT,63076,IT,54100,2023-01-03 00:00:14,1.1,0.0,0.01,323.13,2023-01-05 12:24:01,60,1
52,0,0,IT,63076,IT,20144,2023-01-03 00:00:14,1.25,0.0,0.01,467.45,2023-01-05 00:00:14,48,1
53,0,0,IT,63076,IT,18038,2023-01-03 00:00:14,2.03,0.0,0.01,500.12,2023-01-05 12:40:14,60,1
54,0,0,IT,63076,IT,70125,2023-01-03 00:00:14,2.37,0.0,0.01,323.5,2023-01-05 12:54:14,60,1
55,3,2,US,95116,US,7008,2023-01-01 00:00:14,0.36,0.36,0.0,2961.36,2023-01-12 00:00:14,264,6
56,0,2,US,33154,US,10011,2023-01-01 00:00:14,1.0,0.0,0.01,1746.29,2023-01-07 00:00:14,144,6
57,3,0,IT,88900,IT,63076,2023-01-01 00:00:14,0.74,0.74,0.0,508.84,2023-01-05 00:00:14,96,6
58,3,2,US,7626,US,7008,2023-01-01 00:00:14,1.42,1.42,0.0,951.15,2023-01-04 00:00:14,72,6
59,3,0,IT,52100,IT,63076,2023-01-01 00:00:14,0.89,0.89,0.0,169.86,2023-01-10 00:00:14,216,6
60,0,4,US,10022,US,92656,2023-01-01 00:00:14,0.54,0.0,0.04,3917.24,2023-01-04 00:00:14,72,6
61,0,2,US,10022,US,33140,2023-01-01 00:00:14,0.85,0.0,0.04,1756.15,2023-01-06 00:00:14,120,6
62,0,2,US,10022,US,34236,2023-01-01 00:00:14,1.2,0.0,0.09,1687.19,2023-01-06 00:00:14,120,6
63,3,0,IT,56123,IT,63076,2023-01-01 00:00:14,1.07,1.07,0.0,291.9,2023-01-09 00:00:14,192,6
64,3,0,IT,90139,IT,63076,2023-01-01 00:00:14,1.48,1.48,0.0,535.1,2023-01-10 00:00:14,216,6
65,3,0,IT,72019,IT,63076,2023-01-01 00:00:14,0.76,0.76,0.0,408.31,2023-01-09 00:00:14,192,6
66,3,2,US,10012,US,7008,2023-01-01 00:00:14,0.7,0.7,0.0,1137.75,2023-01-05 00:00:14,96,6
